ResponseID,AB_parcid,Transect,Front_fruit,Back_fruit,Other_fruit,Fruit_any,Front_evergreen,Back_evergreen,Other_evergreen,Everg_any,Front_decid,Back_decid,Other_decid,Decid_any,Front_vegbirds,Back_vegbirds,Other_vegbirds,Vegbird_any,Front_native,Back_native,Other_native,Native_any,Front_sum,Front_sum8,Back_sum,Back_sum8,Watering,Fertilizing,Insecticide,Herbicide,Collecting_rain,Water_feature,Brushpile,Encl_compost,Birdhouse,Birdfeeder,FEED_byfreq,WFI,SimpleWFI,WFIx,DOG_out,CAT_out,Birdawareness,ESTLOWCLEAN,ESTLOWCLEAN_BLANKS,ESTLOWCLEAN_mean,ESTLOWCLEAN_BL_SQRT,VALUE_A,VALUE_B,VALUE_C,VALUE_D,VALUE_E,VALUE_F,VALUE_G,VALUE_H,VALUE_I,VALUE_J,VALUE_K,ANNOY_A,ANNOY_B,ANNOY_C,ANNOY_D,ANNOY_E,ANNOY_F,ANNOY_G,ANNOY_H,ANNOY_I,ANNOY_J,AllValScore,AllValScore_blank,AllValScore_mean,AllValScore_bl_transf,Years_Chi,Years_home,Over18,Under18,Age,Age_blank,Age_mean,RentOwn,Edu,Edu_NA,Gender,Race,Income,Income_blank,Income_mean,SR_near4,AMCR.CT,AMGO.CT,AMRO.CT,BAOR.CT,BCCH.CT,BGGN.CT,BHCO.CT,BLJA.CT,BRTH.CT,CEDW.CT,CHSP.CT,COGR.CT,COYE.CT,DOWO.CT,EAPH.CT,EAWP.CT,EUCD.CT,EUST.CT,GCFL.CT,GRCA.CT,HAWO.CT,HOFI.CT,HOSP.CT,HOWR.CT,INBU.CT,MODO.CT,NOCA.CT,NOFL.CT,RBWO.CT,REVI.CT,RHWO.CT,RWBL.CT,SCTA.CT,SOSP.CT,SWSP.CT,WBNU.CT,YWAR.CT,SR_near4_bin,Native_near4,Exotic_near4,Mig_near4,Res_near4,NT_near4,I_near4,Feeder_near4,Colorful_near4,WFI_200m,SimpWFI_200m,WFIx_200m,FS8_200m,BS8_200m,FS_200m,BS_200m,n_200mparcels
1,1906,Oak,1,NA,NA,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,0,1,1,NA,1,6,7,4,5,0,0,0,0,0,0,1,0,1,0,0,8,2,3,1,0,2,6,6,6,2.449489743,4,4,2,3,5,1,4,3,4,4,3,1,4,2,1,1,1,2,1,1,1,3.904761905,3.904761905,3.904761905,1.447493729,46,12,3,2,46,46,46,Own,5,5,Female,1,5,5,5,11,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,11,10,1,6,5,8,7,8,4,5.777777778,0.888888889,1.888888889,4.888888889,4.666666667,4.333333333,4.222222222,9
3,1568,Oak,NA,1,NA,1,NA,NA,NA,0,1,1,1,1,NA,NA,NA,0,NA,NA,NA,0,3,3,4,4,0,1,0,1,0,0,0,0,0,0,0,4,0,1,1,0,1,7,7,7,2.645751311,5,4,4,5,3,2,4,2,4,4,4,1,3,1,1,3,2,2,2,2,2,3.904761905,3.904761905,3.904761905,1.447493729,17,11,1,2,47,47,47,Own,5,5,Female,1,5,5,5,12,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,12,11,1,6,6,9,8,9,5,5.909090909,1,1.727272727,4.636363636,4.545454545,4.272727273,4,11
4,1557,Oak,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,6,8,6,8,1,1,0,0,0,1,0,0,1,0,0,9,2,4,1,0,4,10,10,10,3.16227766,5,5,5,5,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,4.952380952,4.952380952,4.952380952,1.023532632,25,3,1,0,58,58,58,Own,5,5,Female,1,NA,,3.51,11,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,11,10,1,7,4,8,6,8,4,7,1.25,2.5,6.75,5,5.75,4.25,4
5,1521,Oak,NA,1,NA,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,0,1,1,NA,1,4,5,6,7,1,1,0,0,1,0,0,1,0,0,0,6,0,1,0,0,5,10,10,10,3.16227766,5,5,5,5,4,1,5,5,4,4,5,1,1,1,1,4,2,4,1,1,1,4.333333333,4.333333333,4.333333333,1.290994449,24,18,4,0,59,59,59,Own,5,5,Female,1,5,5,5,8,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,7,1,6,2,7,3,6,3,5,0.5,1,3,4.5,3,4.5,2
7,496,Bloomingdale,NA,NA,NA,0,1,1,NA,1,1,1,NA,1,NA,NA,NA,0,NA,NA,NA,0,4,4,3,3,1,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,4.07,,,,NA,NA,NA,,55.01,,NA,3.4,,NA,NA,,3.51,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4,2,4,2,5,3,6,4,4.125,1,1.625,2.875,2.375,2.75,2.25,8
8,441,Bloomingdale,1,1,NA,1,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,5,5,3,3,1,1,0,0,NA,0,0,0,0,0,0,5,0,1,0,0,0,6,6,6,2.449489743,5,5,3,3,3,1,5,4,5,3,4,1,1,1,1,4,1,1,1,1,1,4.19047619,4.19047619,4.19047619,1.345185418,15,6,2,2,36,36,36,Own,1,1,Male ,NA,3,3,3,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4,2,4,2,5,3,6,4,4.083333333,0.583333333,0.916666667,3.25,3,3.083333333,2.916666667,12
9,425,Bloomingdale,NA,NA,NA,0,NA,NA,NA,0,NA,1,NA,1,NA,NA,NA,0,NA,NA,NA,0,2,2,3,3,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,6,6,6,2.449489743,4,4,4,3,5,3,4,4,4,3,4,2,1,4,4,4,2,4,3,3,3,3.428571429,3.428571429,3.428571429,1.603567451,72,42,2,0,72,72,72,Own,5,5,Female,1,2,2,2,9,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,7,2,6,3,8,5,7,5,5.5,1,1.5,3.9,3.8,3.8,3.7,10
10,1949,Bloomingdale,NA,NA,1,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,0,NA,NA,NA,0,3,3,4,4,1,1,0,0,0,1,0,0,1,0,0,7,2,3,1,0,0,12,12,12,3.464101615,5,4,5,5,3,3,5,5,4,5,5,1,1,1,1,1,1,1,1,1,NA,4.7,4.7,4.7,1.140175425,60,23,4,0,60,60,60,Own,2,2,Female,1,2,2,2,11,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,8,3,8,3,9,7,9,5,5.25,0.916666667,1.416666667,3.416666667,3.333333333,3.166666667,3.083333333,12
11,419,Bloomingdale,NA,NA,1,1,NA,NA,NA,0,1,NA,NA,1,NA,NA,NA,0,1,NA,NA,1,4,5,1,1,1,1,1,1,0,0,0,0,0,0,0,5,0,1,1,0,0,5,5,5,2.236067977,4,2,4,3,4,2,4,3,3,4,4,2,5,3,2,4,2,4,2,2,2,3.285714286,3.285714286,3.285714286,1.647508942,40,14,2,3,40,40,40,Own,3,3,Male ,1,4,4,4,9,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,7,2,6,3,7,6,7,3,5.666666667,1.333333333,2,3.444444444,3.444444444,3.222222222,3.222222222,9
12,1963,Bloomingdale,NA,NA,NA,0,NA,NA,NA,0,1,NA,1,1,NA,NA,NA,0,1,NA,NA,1,3,4,1,1,1,1,1,1,NA,0,0,0,0,0,0,4,0,0,0,1,0,2,2,2,1.414213562,4,5,NA,4,NA,4,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.125,4.125,4.125,1.369306394,70,30,1,0,70,70,70,Own,2,2,Female,1,NA,,3.51,9,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,7,2,6,3,7,6,7,3,5.583333333,1.166666667,1.916666667,3.75,3.083333333,3.5,2.916666667,12
